ID	Markup	Left column	Main column	Pounds	Shillings	Pence
1592	close table			270120	15	4
1593	pb		43v			
1594	table (single row)		Sommeth the payment[es] on the other side	270120	15	4
1595	head		5 December [1642]			
1596	table (single row)	143	p[ai]d S[i]r J[oh]n Seton Collonel of a Regim[en]t of dragoon[er]s uppon acc[oun]tt this is on of [th]e 300l p[ai]d S[i]r J[oh]n Seton	100		
1597	head		6 [Decem]bre [1642]			
1598	open table	12	p[ai]d Richard Brown Collonel of a Regiment of dragooners uppon acc[oun]tt	300	-	-
1599	close table	143	p[ai]d Robert longe Captaine of a foat compa[ny] late in my lord whartons Reg[imen]t for 1 mo[nths] pay for himself & sergeant ended the 2 [Decem]bre	23	2	-
1600	head		8 [December 1642]			
1601	open table	51	p[ai]d Captaine walter long for 1/2 mo[nths] pay for his troop	174	13	-
1602	close table	33	p[ai]d S[i]r w[illia]m Balfour for remainder due to him of the last mo[nths] pay 175.12. as also for a whole months pay for his troop of Cuirassi[er]s uppon acc[oun]tt 565.12.	741	4	-
1603	head		9 [December 1642]			
1604	open table	136	p[ai]d sergeant major Skippon for provision of 20 scarff[es] for the compleating of his troope	10	-	-
1605	tr	122	p[ai]d Captaine Samuel Bosa Capt[ain] reformado of a troop of horse for the pay of himself leifft[enant] and Cornet for 38 days ending 5 present	133	19	-
1606	tr	63	p[ai]d Capt[ain] Thomas Hamond for 1/2 a mo[nths] pay for his troop uppon accompt	174	13	-
1607	tr	20	p[ai]d w[illia]m Davis leifft[enant] Coll[onel] of the g[enera]lls owne Regiment for pay of leifft[enant] Collonel uppon acc[oun]tt	200	0	0
1608	tr	34	p[ai]d Capt[ain] Anto[ny] Mildmay for buying 45 great sadeles and furniture	112	10	-
1609	tr	17	p[ai]d m[aste]r william morton Chaplaine to S[i]r w[illia]m Balfour for provision of necessaries	20	-	-
1610	close table	17	more for pay of himself and servant for 2 whole monthes & 25 days	30	15	-
1611	head		10 [December 1642]			
1612	open table	17	p[ai]d sergeant major Pretty for 1/2 a mo[nths] pay for his troop 174.13 more for his gunsmith 1.15	176	8	-
1613	tr		more for 4 saddles & furniture	10	-	-
1614	tr		more for 1/2 a mo[nths] pay as sergent major	8	8	0
1615	tr	135	p[ai]d Capt[ain] Mathew Scalticke for a mo[nths] pay for 81 sold[ier]s in my lord G[enera]ll[es] reg[imen]t to begin 3 pres[en]t	75	12	-
1616	tr	130	p[ai]d Capt[ain] John Smith as above for 90 sold[ier]s	84	-	-
1617	tr	144	p[ai]d Capt[ain] Henry Gauler as above for 83	77	9	4
1618	tr	14	p[ai]d the lord Brooke toward[es] payment of the officers and sold[ier]s of his reg[imen]t uppon acc[oun]tt	234	16	-
1619	tr		more for 1/2 a mo[nths] pay for his troope	174	13	-
1620	tr	33	p[ai]d major w[illia]m Balfour for 1/2 a mo[nths] pay for his troope	174	13	0
1621	tr	29	p[ai]d Capt[ain] John Bird for 7 days pay for his troop	87	6	6
1622	close table			273244	17	2
1623	pb		44r			
1624	table (single row)		Sommeth [th]e paym[entes] on the other side	273244	17	2
1625	head		10 December [1642]			
1626	open table	76	p[ai]d S[i]r w[illia]m Constable toward[es] paym[en]t of his Regiment on foot uppon acc[oun]tt	400	-	-
1627	tr	176	p[ai]d Capt[ain] David Traile Capt[ain] w[illia]m Abernethy C[aptain] Robert Rutherford Ensigne w[illia]m blare Ensigne Georg Borthick & Ensigne David midleton latelie entertaind as reformados in this exp[edition] for a whol mo[nths] pay uppon acc[oun]tt	75	12	-
1628	tr	116	p[ai]d Capt[ain] Edward Frodsham Capt[ain] of pion[eer]s toward[es] payment of his compa[ny] uppon acc[oun]tt	30	-	-
1629	tr	116	p[ai]d Captaine Henry Roe as above	30	0	0
1630	tr	164	p[ai]d Capt[ain] John Hewson for a mo[nths] pay of 74 sold[ier]s in my lord G[enera]ll[es] Reg[imen]t	69	0	0
1631	tr	111	p[ai]d the Lord Rochford toward[es] the pay of his Regiment uppon acc[oun]tt	400	0	0
1632	tr	37	p[ai]d S[i]r Phillip Stapleton for 1/2 a mo[nths] pay for the gentlemen of my lord G[enera]ll[es] troop	560	0	0
1633	tr	w[illia]m Sedg[wick]	p[ai]d m[aste]r obediah sedgwicke for pay to himself and his servant	13	1	4
1634	tr	15	p[ai]d Richard Thurston surgeon to Collonel Goodwins Reg[imen]t of horse for his pay & advance to end the 24 day of december	25	4	-
1635	tr	144	p[ai]d Capt[ain] Richard Tyrrell for 1/2 a mo[nths] pay for himself officers & 40 men uppon acc[oun]t	139	13	-
1636	tr	13	p[ai]d Capt[ain] Dowett for 20 great saddles & furniture	50	-	-
1637	tr	145	p[ai]d Capt[ain] Georg Blunt Capt[ain] of a Foot compa[ny] in my lord of Peeterborroughs Reg[imen]t for a mo[nths] pay to begine the 21 novemb[er]	92	8	-
1638	tr	30	p[ai]d Collonel Ballard toward[es] paym[en]t of his Reg[imen]t uppon accompt	400	-	-
1639	tr	100	p[ai]d docter Richard Gardiner on of the Phisitions belonging to the Army for 4 mo[nths] & 11 dayes pay at 6 8 p[er] diem to the last [Novem]bre	41	0	0
1640	tr	49	p[ai]d the lord Robert[es] for severall payment[es] belonging to his Reg[imen]t of Foot as by [th]e war[rant] app[ear]s	121	6	-
1641	tr	145	p[ai]d Allexand[e]r urrey Capt[ain] of a Foot compa[ny] in the said Reg[imen]t for severall payment[es] as by [th]e warr[ant]	63	14	-
1642	tr	146	p[ai]d w[illia]m Hunter Capt[ain] of a compa[ny] in the said Regi[men]t as above	49	10	-
1643	tr	146	p[ai]d Capt[ain] Andrew Smith as above	25	4	-
1644	tr	76	p[ai]d Capt[ain] John walker as above	61	14	-
1645	tr	111	p[ai]d Capt[ain] John mill as above	55	18	-
1646	tr	147	p[ai]d Cap[tain] Henry wansey the like	20	10	8
1647	tr	79	p[ai]d C[aptain] marke Grimes the like	86	15	4
1648	tr	6	p[ai]d w[illia]m Rawlins quarter m[aste]r & Humphrey Tremouth provost marshall of the said Regi[men]t	28	0	0
1649	close table			276083	7	6
1650	pb		44v			
1651	table (single row)		Sommeth the payment[es] on the other side	276083	7	6
1652	head		10 December [1642]			
1653	open table	69	p[ai]d James wardlaw Collonel of a Regi[men]t of dragoon[er]s in discharg of the said Regi[men]t to [th]e 10 pres[en]t as by the warr[an]t	923	6	-
1654	tr	47	p[ai]d Capt[ain] Fra[ncis] Tomson toward[es] pay of his troop uppon acc[oun]tt	151	-	-
1655	tr	33	p[ai]d Collonel Henry Cholmly for pay of 8 compa[nies] of sold[ier]s in his Regi[men]t being 552 men for 14 days from [th]e 23 [Novem]bre			
1656	close table	105	p[ai]d sergeant major Bamfeild toward[es] pay of my lord G[enera]ll[es] Regi[men]t uppon acc[oun]tt	500	0	0
1657	head		12 [December 1642]			
1658	open table	40	p[ai]d S[i]r John Merricke for a whole mo[nths] pay as coll[onel] of a Regi[men]t & other paym[entes] as by [th]e war[rant]	74	4	-
1659	tr	136	p[ai]d Major g[enera]ll Skippon w[hi]ch he lent to S[i]r John Seaton toward[es] paym[en]t of his reg[imen]t of dragoon[er]s w[hi]ch is to be charged to S[i]r Jo[hn] seton[es] acc[oun]tt this is [th]e second 100l p[ai]d him	100	-	-
1660	close table	8	p[ai]d S[i]r w[illia]m waller Collonel of a reg[imen]t of horse toward[es] payment of the said Regi[men]t & other troops and divers compa[nies] of Dragoone[er]s under his command uppon acc[oun]t	500	0	0
1661	head		No 9 17 [December 1642]			
1662	open table	127	p[ai]d S[i]r Edward Peito toward[es] making the fortification in & about windsor	200	-	-
1663	tr	25	p[ai]d Captain  [^langresh^] for 1/2 a mo[nths] pay for his troop uppon acc[oun]tt	174	13	-
1664	close table	147	p[ai]d Leifftenn[an]t Collonel Aldrich, major of S[i]r John meldrom Brigad for 6 week[es] pay as major beginning the last [Octo]bre at xs p[er] diem	21	-	-
1665	head		18 [December 1642]			
1666	open table	130	p[ai]d Sergeant major Botteler captaine of a foot compa[ny] in my lord Peeterborrough[es] reg[imen]t for on mo[nths] pay of 100 soldiers from the 13 [Decem]bre	93	6	8
1667	close table	148	p[ai]d Capt[ain] Alban Cox for pay of the officers & 50 troop[er]s for a mo[nths] as by the warr[an]t	223	6	-
1668	head		19 [December 1642]			
1669	open table	47	p[ai]d Capt[ain] Oliver Cromwell for 1/2 a mo[nths] pay for his troop of 80 harque[busiers] begining 10 pres[en]t	204	13	-
1670	tr	76	p[ai]d Capt[ain] Jo[hn] walker for 14 [^daies^] pay for himself & officers of a foot compa[ny] from the 22 [Novem]bre In my lord Robert[es] Regi[men]t	20	6	0
1671	tr	148	p[ai]d Capt[ain] Richard Hodgson for paym[en]t of 75 pioneers of his compa[ny] & officers from [th]e 15 [Novem]bre to [th]e 7 december inclus[ive]	70	10	-
1672	close table			279338	12	2
1673	pb		45r			
1674	table (single row)		Sommeth the payment[es] on the other side	279338	12	2
1675	head		19 December 1642			
1676	open table	27	p[ai]d Capt[ain] John Hale for 1/2 a mo[nths] pay for his troop uppon acc[oun]tt	174	13	0
1677	tr	132	p[ai]d Anto[ny] Fastaff Comissarie of the train of draft horses uppon acc[oun]tt	300	-	-
1678	tr	149	p[ai]d w[illia]m Cheese Capt[ain] of a compa[ny] of pioners for pay of his officers and compa[ny] as by [th]e warr[an]tt	44	12	0
1679	tr	140	p[ai]d Coll[onel] Langham for 14 dayes pay of 688 sold[ier]s of his Regi[men]t beginning [th]e 22 of november	321	1	4
1680	tr	75	p[ai]d S[i]r John Meldrom for severall pays of his regim[en]t as by the warr[an]t	189	17	4
1681	tr		more for an arrer to make up his last mo[nths] pay for his reg[imen]t	70	2	-
1682	tr	64	p[ai]d Hugh ward surgeon to my lord of Bedford[es] Regi[men]t for pay of himself mates & Bidet[es] for a mo[nth] beginning the 18 [Novem]bre & for 14 dayes advance to end the 29 pres[en]t	25	4	-
1683	tr	149	p[ai]d L[ieutenant] Coll[onel] James afflock for his pay as L[ieutenant] Coll[onel] reformado for 6 week[es] begining 1 [Novem]bre 	63	-	-
1684	tr	150	p[ai]d Benjamin wigfall Captaine of a foot compa[ny] in Coll[onel] Holborns Regi[men]t for pay of his compa[ny] & officers as by [th]e warr[an]t	72	16	-
1685	tr	43	p[ai]d Capt[ain] Fra[ncis] Tomson for 1/2 mo[nths] pay for his troop uppon acc[oun]tt	174	13	-
1686	tr	164	p[ai]d Capt[ain] John Hewson for 1 mo[nths] pay of the officers of his compa[ny] begining the 6 decemb[e]r	42	-	-
1687	tr	45	p[ai]d Capt[ain] Thomas Tirrell toward[es] paym[en]t of his troop uppon acc[oun]tt	50	0	0
1688	tr	30	p[ai]d Collonel Ballard for pay of his officers & sold[ie]rs of his Regi[men]t as by the warr[an]t for 1/2 a month pay	498	12	8
1689	tr	26	p[ai]d Capt[ain] Georg Austin toward[es] paym[en]t of his troop uppon acc[oun]tt	100	-	-
1690	tr	10	p[ai]d Capt[ain] Francis Fines for 1/2 a mo[nths] pay for his troope	113	8	-
1691	tr	50	p[ai]d Collonel Billinsly for his pay as L[ieutenant] Collonel and assistant to the S[ergeant] major g[enera]ll ending the 16 present at 30s p[er] diem	84	0	0
1692	tr	102	p[ai]d Docter Dorisla for a mo[nths] pay as advocate of the Army from [th]e 11 [Novem]bre to [th]e 8 present	28	-	-
1693	tr	92	p[ai]d S[i]r Samuel luke for 1/2 a mo[nths] pay for his troop uppon acc[oun]tt	174	13	-
1694	tr	150	p[ai]d C[aptain] Benjamin wigfall for a fortnight pay for 69 sold[ier]s of his compa[ny] from [th]e 6 pre[sen]t	32	4	-
1695	close table			281897	8	6
1696	pb		45v			
1697	table (single row)		Sommeth [th]e paym[entes] on the other side	281897	18	6
1698	head		19 December [1642]			
1699	open table	130	p[ai]d Capt[ain] Jo[hn] smith for 18 days pay for 2 sergeant[es] 2 drums & 3 corporall[es] of his compa[ny] from [th]e 3 [Decem]bre to the 21	7	4	-
1700	tr	125	p[ai]d Phillip Cotton provost marshall to Coll[onel] midletons Regi[men]t of dragoon[er]s for a mo[nths] pay beg[inning] 11 [Novem]bre	7	-	-
1701	tr	125	p[ai]d Richard Grevill quarter m[aste]r as above	3	10	-
1702	tr	151	p[ai]d Capt[ain] Jo[hn] withers for a mo[nths] pay for 97 sold[ier]s in Coll[onel] Holbornes Regi[men]t begining [th]e 2 [Decem]bre	90	10	8
1703	close table	151	p[ai]d C[aptain] Richard [^Henry^] withers for 14 days paye for himself officers & 23 sold[ier]s in the said Regi[men]t beg[inning] 24 november	31	14	8
1704	head		20 [December 1642]			
1705	open table	33	p[ai]d Coll[onel] Cholmly for pay of 552 soldiers of his Regi[men]t for 14 days beginning [th]e 23 [Novem]bre	515	4	-
1706	tr	119	p[ai]d Edward Pilkinton for divers working tooles belonging to gunsmiths w[hi]ch wear lost in the service and by him repared	3	19	-
1707	tr	114	p[ai]d Anthony Allen scoutmaster g[enera]ll for 21 days pay for himself & 20 men from the 1 december to the 22 excl[usive] at 6s p[er] diem	126	-	-
1708	close table	101	p[ai]d Capt[ain] Thomas Lidcot for his troop uppon Acc[oun]tt	100	-	-
1709	head		21 [December 1642]			
1710	open table	127	p[ai]d S[i]r Edward Peyto for 1/2 a mo[nths] pay for the officers of the traine of Artigliry beg[inning] 25 [Novem]bre	724	15	8
1711	tr	98	p[ai]d Captaine mathew draper for 1/2 a mo[nths] pay for the officers & sold[ier]s of my lord[es] troop of harque[busiers] the lieff[enant] excepted	162	1	-
1712	tr	20	p[ai]d Alexander hughs surgeon to major g[enera]ll skippon for soe much advanct for his chest	15	0	0
1713	tr	144	p[ai]d Capt[ain] Henry Gauler for pay of 2 serg[ean]t[es] 2 drum[mer]s & 3 corporall[es] for 18 days beg[inning] 3 [Decem]bre	7	4	-
1714	tr	120	p[ai]d Capt[ain] Marmeduke Cooper for 1/2 a mo[nths] pay for his troop uppon acc[oun]tt	174	13	-
1715	tr	176	p[ai]d michael Barke Pilkenton and the rest of the gunsmith for 3 week[es] pay ending [th]e 21 [Decem]bre	27	6	-
1716	tr	5	p[ai]d Thomas Jenck[es] provost marshall to [th]e late reg[imen]t of Collonel Hollis for 1 mo[nths] pay ending [th]e 26 [Novem]bre at 5s p[er] diem	7	-	-
1717	tr		more as provost marshal to C[ollone]ll Skippons Regi[men]t for Irons & 1/2 a wagon	27	-	-
1718	close table			283927	10	6
1719	pb		46r			
1720	table (single row)		Summeth [th]e paym[entes] on the other side	283927	10	6
1721	head		December 21 [1642]			
1722	open table	135	p[ai]d Capt[ain] mathew Scaltike for 28 dayes pay for 2 sergeant[es] 2 drum[mer]s & 3 corporalle[es] from [th]e 3 present	7	4	0
1723	tr	11	p[ai]d Sergeant major gunter for 1/2 a mo[nths] pay for his troop uppon acc[oun]t	174	13	-
1724	tr		p[ai]d w[illia]m Hallford for soe much by him disbursed for cariage of severall sort[es] of Ammunition from Kinton feild to warwicke & other places for the use of the Army	15	2	6
1725	tr	17	p[ai]d Sergeant major Pretty toward[es] paym[en]t of that troop wherof latlie Capt[ain] Fleming was Captaine uppon acc[oun]t	100	0	0
1726	tr		more for 20 great sadles & furniture for that troop	50	0	0
1727	close table	68	p[ai]d Capt[ain] Turner for a mo[nths] pay for [th]e officers & 25 soldiers of his compa[ny] in [th]e g[enera]ll[es] reg[imen]t beginine [th]e 26 [Novem]bre	65	6	8
1728	head		22 [December 1642]			
1729	open table	17	p[ai]d S[e]rgeant major Prettye for 1/2 a mo[nths] pay for his troop & gunsmith	176	8	0
1730	tr	16	p[ai]d C[aptain] Arthur Evelin for 1/2 a mo[nths] pay for his troope	174	13	0
1731	tr	21	p[ai]d C[aptain] Anselme for a mo[nths] pay for my lord of Bedford[es] troop of Cuirassiers	321	16	0
1732	tr	103	p[ai]d C[aptain] John Fines for 1/2 a mo[nths] pay for his troop	174	13	-
1733	tr	15	p[ai]d C[aptain] Nat[haniel] Fines the like	174	13	-
1734	tr	9	p[ai]d my lord Grey the like	174	13	-
1735	tr	14	p[ai]d my lord Brook[es] the like	174	13	-
1736	tr	18	p[ai]d Capt[ain] Edward Aiscough the like	174	13	-
1737	tr	15	p[ai]d Collonel Goodwine the like	174	13	-
1738	tr	44	p[ai]d Capt[ain] Ireton the like	174	13	-
1739	tr	25	p[ai]d Capt[ain] Scroop toward[es] paym[en]t of his troop	100	-	-
1740	tr	128	p[ai]d Quarter m[aste]r G[enera]ll Dulbier for a mo[nths] pay for his troope	349	6	-
1741	tr	52	p[ai]d Capt[ain] Chichester for a mo[nths] pay for his troop	349	6	-
1742	tr	152	p[ai]d major John Meldrom Major to S[i]r w[illia]m Balfours reg[imen]t of horse for his pay & 25 menn of his troop to [th]e 8 present	121	16	0
1743	tr	152	p[ai]d Capt[ain] Hugh [?Fains?] capt[ain] of a Foot compa[ny] in Coll[onel] Holborns Regi[men]t for 1/2 a mo[nths] pay for 102 sold[ier]s begining [th]e 16 dec[ember]	47	12	-
1744	tr	119	p[ai]d sergeant major Alexander Urrey for severall pays to his sold[ier]s as by the war[rant]	12	18	-
1745	close table			287216	2	8
1746	pb		46v			
1747	table (single row)		Sommeth the paym[entes] on the other side	287216	2	8
1748	head		22 December [1642]			
1749	open table	15	p[ai]d m[aste]r Edward Perkins Chaplaine to Coll[onel] Goodwins Regi[men]t for his & his mans pay for 2 mo[nths]	24	5	4
1750	tr	4 fo. 95 182	p[ai]d Collonel John urrey for 1/2 a mo[nths] pay for his troop of 70 harquebusiers	192	3	-
1751	tr	7	p[ai]d the lord wharton [th]e 23 november & 6 december for 1/2 a mo[nths] pay for his troope	209	13	-
1752	close table	15	p[ai]d Collonel Goodwine the dayes above for a fortnight[es] pay for his troope	174	13	-
1753	head		26 [December 1642]			
1754	open table	153	p[ai]d Capt[ain] Georg Rouse for 14 dayes pat for 100 sold[ier]s in my of Peterboroughs Regi[men]t begining [th]e 16 present	46	13	4
1755	tr	127	p[ai]d S[i]r Edward Peyten for 92 sold[ier]s in [th]e same Regi[men]t beg[inning] 17 d[i]tto	42	18	8
1756	tr	25	p[ai]d Capt[ain] Langreish for 1/2 a mo[nths] pay for his trop upon acc[oun]tt	174	13	-
1757	tr	51	p[ai]d Capt[ain] walter long the like	174	13	-
1758	tr	83	p[ai]d Capt[ain] Rudglie [th]e like	174	13	-
1759	tr	44	p[ai]d Capt[ain] Richard Greenvile [th]e like	174	13	-
1760	tr	114	p[ai]d Capt[ain] Thomas sand[er]s the like	174	13	-
1761	tr	125 84	p[ai]d John midleton for two whole mo[nths] pay as Collonel & 7 dayes from [th]e 24 [Octo]bre to [th]e 26 [Decem]bre exclusive at 30s p[er] diem	94	10	-
1762	tr		more for 1/2 a mo[nths] pay for [th]e officers and 67 troopers	186	18	-
1763	tr	142 1382	p[ai]d Collonel Barkley in full of his war[rant] three hundreth pownd[es] therof being p[ai]d [th]e 5 present	1082	14	2
1764	tr	13	p[ai]d Collonel Hambden toward[es] pay of his Regiment uppon accompt	1000	-	-
1765	tr	69	p[ai]d the Earle of Peeterborrough for 30 dayes pay as marshall g[e]n[era]ll of the feild beg[inning] 18 [Novem]bre at 6l p[er] diem	180	-	-
1766	tr	78	p[ai]d Comissarie Bond for his & his offic[er]s pay & severall disboursm[entes] as by [th]e warr[ant]	102	12	-
1767	tr	153	p[ai]d Capt[ain] John Inwood for pay of himself officers & 45 drago[ons] in Coll[onel] Fanes Regi[men]t beg[inning] 18 [Novem]bre inclusive	160	6	0
1768	close table			291586	14	2
1769	pb		47r			
1770	table (single row)		Sommeth the paym[entes] on the other side	291586	14	2
1771	head		26 December [1642]			
1772	open table	66	p[ai]d Capt[ain] Anthony Sanderson in my g[enera]ll[es] Regi[men]t for pay of his compa[ny] as by [th]e warr[an]t	84	4	8
1773	tr	31	p[ai]d James Senior Provost marshall g[e]n[era]ll for pay of himself and his men to [th]e 24 [Decem]bre as by [th]e warr[ant]	139	13	-
1774	tr	148	p[ai]d Capt[ain] Albon Cox for pay of his officers and troop as by [th]e warr[ant]	169	8	-
1775	tr	7	p[ai]d the lord wharton for 1/2 a mo[nths] pay for 80 harquebusiers uppon acc[oun]tt	209	13	0
1776	tr	154	p[ai]d Collonell Bulstrood toward[es] pay of his regiment uppon acc[oun]tt	300	-	-
1777	tr	36	p[ai]d Capt[ain] Robert Pye toward[es] payment of his troope uppon accompt	70	0	0
1778	tr	30	p[ai]d Collonel Ballard for his owne pay as collonell & major of a brigade for on mo[nth] beg[inning] 11 [Novem]bre	70	-	-
1779	tr	37	p[ai]d Capt[ain] John Neal for a fornight pay for his troop uppon acc[oun]t	174	13	-
1780	tr	63	p[ai]d Capt[ain] Thomas Hamond for severall payes for his officers and troop as by [th]e warr[an]tt	137	3	-
1781	tr	46	p[ai]d S[i]r w[illia]m Constable toward[es] paym[en]t of the officers & soldiers of his Regiment	500	-	-
1782	tr	33	p[ai]d S[i]r Henry Cholmly for [th]e full pay of the officers & sold[ier]s of his Regi[men]t ending the 27 day decemb[e]r as alsoe for a mo[nths] pay ending [th]e 24 december	608	1	-
1783	tr	145	p[ai]d Capt[ain] Blunt for pay of 99 sold[ier]s in [th]e my L[ord] Peeterborroughs Regi[men]t for 14 dayes beg[inning] 19 dec[ember] inclusive	46	4	-
1784	tr	81	p[ai]d C[aptain] Bushell for an arreer of pay of 40 soldiers of [th]e g[eneralles] compa[ny] w[hi]ch wear formerly in other compa[nies]	16	0	0
1785	tr	81	more toward[es] the pay of the said compa[ny] upon acc[oun]t	100	0	0
1786	tr	44	p[ai]d Capt[ain] Henry Ireton for 14 days pay of his troop uppon acc[oun]t	174	13	-
1787	tr	69	p[ai]d the Earle of Peeterborrough for a mo[nths] pay of 100 sold[ier]s of his owne compa[ny] beg[inning] 13 [Decem]b[er]	93	6	8
1788	tr	21	l[ieutenant] Coll[onel] Fairfax capt[ain] of a compa[ny] in the s[ai]d Regi[men]t for 14 days for 91 sold[ier]s fro[m] [th]e 16 [Decem]bre	42	9	4
1789	tr	11	p[ai]d sergeant major Gunter to buy 2 great sadles & furniture	5	-	
1790	close table			294527	2	10
1791	pb		47v			
1792	table (single row)		Sommeth the paym[entes] on the other side	294527	2	10
1793	head		27 decemb[e]r 1642			
1794	open table	127	p[ai]d S[i]r Edward peto for 14 days pay of 74 fierlock[es] of his compa[ny] beg[inning] 21 dec[ember]	34	6	8
1795	tr		more for pay of himself & officers as by the warr[an]tt	44	2	
1796	tr	154	p[ai]d Ca[ptain] Georg Dundass capt[ain] of a compa[ny] of dragon[er]s late in Coll[onel] wardlaws reg[imen]t uppon acc[oun]tt	50	-	
1797	tr	60	p[ai]d Capt[ain] Ambrose Tindall for 18 days pay for himself as capt[ain] of a compa[ny] of dragoon[er]s from [th]e 5 to [th]e 23 present	18	-	
1798	tr	12	p[ai]d Coll[onel] Richard Browne toward[es] pay of his Regiment of dragoon[er]s uppon acc[oun]tt	1000	-	
1799	tr	136	p[ai]d sergeant major g[e]n[era]ll skipton for 14 dayes pay of all the officers of his Regi[men]t & 946 sold[ier]s from [th]e 4 to the 17 pres[en]t	730	9	8
1800	tr	136	more for a mo[nths] pay as segeant major g[enera]ll from [th]e 15 [Decem]bre at xls p[er] diem	56	-	-
1801	tr	116	p[ai]d Capt[ain] Henry Row capt[ain] of Pioneers for arrers dew unto him uppon acc[oun]tt for paym[en]t of his menn & other charges w[hi]ch ended 19 pres[en]t & also for 7 days pay for 63 pion[eer]s ending 26 [Decem]bre	84	6	6
1802	tr	116	p[ai]d Capt[ain] Edward Frodsham toward[es] payment of his pioneers uppon acc[oun]tt	50	-	-
1803	tr	26	p[ai]d Capt[ain] Georg Austin for 2 mo[nths] pay for himself as captaine of a troop of horse ending [th]e 22 present	109	4	-
1804	tr	33	p[ai]d S[i]r w[illia]m Balfour for 3 week[es] pay for his troop of 80 cuirassiers uppon acc[oun]tt	424	4	-
1805	tr	111	p[ai]d the Lord Rochford toward[es] the pay of his Regiment uppon acc[oun]tt	300	0	0
1806	tr	122	p[ai]d S[i]r James Ramsey for his owne pay for 3 monthes & pay of himself & pay for his troop	899	5	-
1807	tr	155	p[ai]d Capt[ain] Bestney Mason toward[es] pay of his compa[ny] of dragoon[er]s in S[i]r Jo[hn] seton reg[imen]t	100	0	0
1808	close table	155	p[ai]d Captaine Richard Fincher another Capt[ain] dragooner toward[es] pay of his compa[ny] of the same Regiment	50	-	-
1809	head		No 10	298477	0	8
1810	pb		48r			
1811	table (single row)		Sommeth the paym[entes] on the other side	298477	0	8
1812	head		29 [December 1642]			
1813	table (single row)	49 28 [Decem]bre	p[ai]d the lord G[e]n[era]ll w[hi]ch he lent for S[i]r John Setons Regiment w[hi]ch is put to his accompt this is the third 100l p[ai]d him uppon [th]e war[ran]t	100	-	-
1814	head		30 [December 1642]			
1815	open table	109	p[ai]d Captaine Vernon for his pay and entertainm[en]t as deputy Tr[easur]er of the Army from [th]e 30 [Novem]bre to [th]e 30 [Decem]bre inclusive being 30 dayes at 6s 8d p[er] diem	10	0	0
1816	close table		more for 3 clark[es] allowed him for [th]e same time at 2s p[er] diem each	9	0	0
1817	head		9 Januarye 1642[/3]			
1818	open table	49	p[ai]d my lord Robert[es] for a whole mo[nths] pay for the officers of his reg[imen]t uppon acc[oun]tt	317	2	0
1819	tr		more for 1/2 a mo[nths] pay for the officers & severall compa[nies] of soldiers of his reg[imen]t as by the warr[an]tt	392	2	4
1820	tr		more uppon another warr[an]tt for his compa[ny]	36	0	8
1821	tr	113	p[ai]d w[illia]m Hunter leifften[ant] Collonel of that Regi[men]t for pay of his compa[ny] as by [th]e warr[ant]	29	1	-
1822	tr	147	p[ai]d Capt[ain] Henry Wansey of that reg[imen]t for his compa[ny]	32	19	4
1823	tr		more p[ai]d him by another warr[an]tt	41	1	4
1824	tr	111	p[ai]d Capt[ain] John mill for pay of his compa[ny] in the same Regi[men]t	20	15	4
1825	tr	112	p[ai]d Capt[ain] Jonathan Elliott for pay of his compa[ny] in the same Regi[men]t	22	5	4
1826	tr	119	p[ai]d John Urrey major to the said Regi[men]t for his compa[ny]	16	16	0
1827	tr	146	p[ai]d Capt[ain] Andrew Smith for his compa[ny] in the said Regi[men]t	66	10	0
1828	tr	49	p[ai]d the lord Robert[es] for captaine John walkers compa[ny] late of his reg[imen]t	19	12	-
1829	tr	79	p[ai]d C[aptain] marke Grime for his compa[ny] in this Regi[men]t	17	14	8
1830	tr	162	p[ai]d Capt[ain] smith wilkinson for his compa[ny] in the said Regi[men]t	86	1	4
1831	tr	40	p[ai]d S[i]r John Merricke for a mo[nths] pay beginning the 18 [Novem]bre at 5l p[er] diem as gennerall of the ordinance	140	0	0
1832	tr		more for other severall pays as by [th]e warr[an]tt	74	4	0
1833	tr	69	p[ai]d the Earle of Peeterborrow for a mo[nths] pay of himself Feild officers and 4 captains of his Regi[men]t beginning [th]e 7 [Decem]bre	415	16	0
1834	tr	136	p[ai]d major g[e]n[era]ll skipton for 14 dayes pay for the officers & sold[ier]s of his reg[imen]t ending [th]e 31 [Decem]bre	730	9	0
1835	tr		more for a mo[nths] pay of his troop of 80 harqueb[usiers] beg[inning] 20 [Decem]bre	448	14	0
1836	close table			301503	5	0
1837	pb		48v			
1838	table (single row)		Sommeth [th]e paym[entes] on the other side	301503	5	0
1839	head		January 6 1642[/3]			
1840	open table	47	p[ai]d Capt[ain] oliver Cromwell for 1/2 a mo[nths] pay for his troop of 80 harg[ebusiers] uppon accompt	214	13	-
1841	tr	18	p[ai]d C[aptain] Edward Aiscough for a mo[nths] pay for his troop uppon accompt	349	6	-
1842	tr	18	p[ai]d Capt[ain] Sheffeild the like	349	6	-
1843	tr	156	p[ai]d the lord mordent the like to beg[in] the 1 december	349	6	-
1844	tr	156	p[ai]d major w[illia]m Balfour uppon acc[oun]tt the like	349	6	-
1845	tr	177	p[ai]d Coll[onel] Hurrey for his troop uppon acc[oun]tt	150	0	0
